learning_rate,batch_size,optimizer,dropout,seq_length,best_epoch,total_epochs,training_time_sec,val_loss,val_mae,test_mse_scaled,test_mae_scaled,test_r2_scaled,test_mse_real,test_rmse_real,test_mae_real,test_r2_real
0.001,64,adam,0.2,24,9,16,379.6,0.003915,0.03804,0.004165,0.038928,0.7592,22.8049,4.7754,2.8807,0.7592
0.001,128,adam,0.3,24,2,9,129.3,0.004262,0.042533,0.004549,0.043422,0.7369,24.9092,4.9909,3.2133,0.7369
0.0005,64,adam,0.2,24,3,10,273.1,0.003987,0.037486,0.004258,0.0398,0.7538,23.3154,4.8286,2.9452,0.7538
0.0005,128,adam,0.3,24,11,18,243.2,0.0046,0.039782,0.004895,0.040523,0.7169,26.8061,5.1775,2.9987,0.7169
0.0001,64,adam,0.2,24,22,29,734.7,0.003921,0.035659,0.004167,0.036388,0.759,22.8194,4.777,2.6927,0.759
0.0001,128,adam,0.3,24,15,22,309.7,0.004567,0.040725,0.004861,0.041544,0.7189,26.6175,5.1592,3.0743,0.7189
0.001,64,rmsprop,0.2,24,12,19,492.3,0.004005,0.035531,0.004259,0.036191,0.7537,23.3247,4.8296,2.6781,0.7537
0.0005,64,rmsprop,0.3,24,5,12,320.8,0.004824,0.041681,0.00512,0.042405,0.7039,28.0397,5.2952,3.138,0.7039
0.001,64,adam,0.4,24,1,8,234.7,0.004758,0.048387,0.00506,0.049491,0.7073,27.7111,5.2641,3.6623,0.7073
0.0005,128,adam,0.4,24,6,13,179.7,0.004559,0.044245,0.004883,0.04523,0.7176,26.7399,5.1711,3.347,0.7176
0.001,256,adam,0.2,24,12,19,148.5,0.003922,0.035738,0.004171,0.036433,0.7588,22.8395,4.7791,2.696,0.7588
0.001,32,adam,0.2,24,3,10,494.6,0.003847,0.035736,0.004097,0.037078,0.7631,22.4361,4.7367,2.7437,0.7631
0.001,64,adam,0.2,48,10,17,679.1,0.003832,0.035545,0.004096,0.036211,0.7585,22.4308,4.7361,2.6796,0.7585
0.0005,64,adam,0.3,48,4,11,427.8,0.004195,0.039323,0.0044,0.0417,0.7405,24.0957,4.9087,3.0858,0.7405
0.001,128,adam,0.3,48,3,10,237.2,0.004043,0.037595,0.004264,0.039835,0.7486,23.3474,4.8319,2.9478,0.7486
